,Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
0,08/21/2026,ADB,5.3,5.06,5.3,5.3,5.3,5.3,0.0,5.3,0.0,2.0,10.6
1,08/21/2026,GGBL,16.5,6.6,11.88,11.88,11.88,11.88,0.0,0.0,11.88,55.0,653.4
2,08/21/2026,GCB,52.0,20.11,39.04,39.04,39.0,39.0,-0.04,38.0,39.0,,
3,08/21/2026,FAB,8.4,7.71,8.4,8.4,8.4,8.4,0.0,0.0,0.0,0.0,0.0
4,08/21/2026,FML,16.35,8.0,13.23,13.23,13.23,13.23,0.0,0.0,13.23,,
5,08/21/2026,ETI,2.82,0.76,1.82,1.82,1.89,1.89,0.07,1.88,1.89,,
6,08/21/2026,EGL,12.16,3.48,8.16,8.16,7.39,7.39,-0.77,7.35,8.23,,
7,08/21/2026,DASPHARMA,1.27,0.38,1.16,1.16,1.27,1.27,0.11,1.27,0.0,,
8,08/21/2026,CPC,0.2,0.05,0.2,0.2,0.2,0.2,0.0,0.22,0.0,0.0,0.0
9,08/21/2026,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.15,0.0,0.0,0.0
10,08/21/2026,CLYD,6.57,0.46,6.52,6.52,6.5,6.5,-0.02,0.0,6.48,,
11,08/21/2026,CAL,0.94,0.61,0.76,0.76,0.76,0.76,0.0,0.73,0.78,,
12,08/21/2026,BOPP,100.0,55.82,77.0,77.0,76.0,76.0,-1.0,0.0,76.0,,
13,08/21/2026,ALLGH,8.46,5.38,5.4,5.4,5.4,5.4,0.0,5.7,0.0,0.0,0.0
14,08/21/2026,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,0.0,0.0,0.0
15,08/21/2026,ALW,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
16,08/21/2026,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,40.7,0.0,0.0,0.0
17,08/21/2026,ACCESS,46.64,16.2,30.95,30.95,30.95,30.95,0.0,0.0,30.49,0.0,0.0
18,08/21/2026,GOIL,8.01,2.96,7.5,7.5,7.5,7.5,0.0,0.0,7.5,,
19,08/21/2026,KASA,2.3,1.2,1.99,1.99,1.97,1.97,-0.02,1.97,2.0,,
20,08/21/2026,EGH,57.0,25.0,39.02,39.02,39.02,39.02,0.0,0.0,39.0,0.0,0.0
21,08/21/2026,MTNGH,7.15,4.2,6.99,6.99,7.0,7.0,0.01,6.98,7.0,,
22,08/21/2026,DIGICUT,0.18,0.09,0.17,0.17,0.18,0.18,0.01,0.18,0.0,,777.6
23,08/21/2026,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0.0,5.2,0.0,0.0,0.0
24,08/21/2026,IIL,0.93,0.05,0.65,0.65,0.65,0.65,0.0,0.65,0.7,,
25,08/21/2026,HORDS,0.82,0.09,0.75,0.75,0.82,0.82,0.07,0.76,0.82,,
26,08/21/2026,MMH,0.11,0.1,0.11,0.11,0.11,0.11,0.0,0.12,0.0,102.0,11.22
27,08/21/2026,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.55,0.0,0.0,0.0
28,08/21/2026,GLD,533.93,466.72,462.39,462.39,462.39,462.39,0.0,0.0,462.39,2.0,924.78
29,08/21/2026,AADS,0.42,0.42,0.42,0.42,0.42,0.42,0.0,0.46,0.0,0.0,0.0
30,08/21/2026,ZEN,12.61,5.0,10.9,10.9,10.9,10.9,0.0,0.0,10.89,0.0,0.0
31,08/21/2026,SCBPREF,0.99,0.9,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0
32,08/21/2026,TLW,13.11,11.92,13.11,13.11,13.11,13.11,0.0,13.11,0.0,5.0,65.55
33,08/21/2026,PBC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
34,08/21/2026,UNIL,35.2,19.79,32.0,32.0,35.2,35.2,3.2,35.2,0.0,,
35,08/21/2026,SCB,79.41,29.22,70.0,70.0,70.0,70.0,0.0,0.0,69.9,167.0,
36,08/21/2026,SIC,6.09,1.2,5.5,5.5,5.5,5.5,0.0,0.0,5.5,,
37,08/21/2026,RBGH,5.58,1.3,4.2,4.2,4.2,4.2,0.0,0.0,4.2,,
38,08/21/2026,TBL,1.2,1.2,1.2,1.2,1.2,1.2,0.0,1.2,1.32,,
39,08/21/2026,TOTAL,42.0,32.91,39.83,39.83,42.0,42.0,2.17,42.0,0.0,,
40,08/21/2026,SOGEGH,11.51,4.49,5.44,5.44,5.6,5.6,0.16,5.44,5.6,,
41,1/10/2020,EGL,1.65,1.65,1.65,1.65,1.65,1.65,0.0,0.0,0.0,0.0,0.0
42,1/10/2020,UNIL,16.4,16.4,16.4,16.4,16.4,16.4,0.0,0.0,16.38,0.0,0.0
43,1/10/2020,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0
44,1/10/2020,EGH,8.09,7.4,7.4,7.4,7.75,7.75,0.35,7.75,0.0,4300.0,33325.0
45,1/10/2020,GCB,5.1,5.1,5.1,5.1,5.1,5.1,0.0,0.0,5.1,3500.0,17850.0
46,1/10/2020,ETI,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.09,0.0,0.0
47,1/10/2020,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
48,1/10/2020,CMLT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
49,1/10/2020,AYRTN,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
50,1/10/2020,FML,4.12,4.12,4.12,4.12,4.12,4.12,0.0,0.0,4.12,0.0,0.0
51,1/10/2020,BOPP,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,2.86,0.0,0.0
52,1/10/2020,CAL,0.9,0.89,0.9,0.9,0.9,0.9,0.0,0.9,0.99,1900.0,1710.0
53,1/10/2020,GGBL,1.69,1.69,1.69,1.69,1.69,1.69,0.0,0.0,1.68,0.0,0.0
54,1/10/2020,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0
55,1/10/2020,ACCESS,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0
56,1/10/2020,CLYD,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.0
57,1/10/2020,GLD,54.0,54.0,54.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0
58,1/10/2020,ALW,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
59,1/10/2020,GSR,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,9.5,0.0,0.0
60,1/10/2020,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0
61,1/10/2020,RBGH,0.6,0.56,0.6,0.6,0.6,0.6,0.0,0.0,0.6,0.0,0.0
62,1/10/2020,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,0.0,0.0,0.0,0.0
63,1/10/2020,SOGEGH,0.72,0.72,0.72,0.72,0.72,0.72,0.0,0.0,0.72,0.0,0.0
64,1/10/2020,TLW,11.94,11.94,11.94,11.94,11.94,11.94,0.0,0.0,11.94,0.0,0.0
