"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"26/03/2026","ACCESS","46.64","16.20","46.62","46.62","45.00","46.62","0.00","","45.00","18","810.00"
"26/03/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","0","0.00"
"26/03/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"26/03/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"26/03/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","","0","0.00"
"26/03/2026","ALLGH","6.52","6.12","6.52","6.52","6.52","6.52","0.00","","6.52","15,403","100,427.56"
"26/03/2026","BOPP","100.00","55.82","100.00","100.00","100.00","100.00","0.00","","100.00","946","94,600.00"
"26/03/2026","CAL","0.94","0.61","0.75","0.75","0.71","0.71","-0.04","0.69","0.70","125,557","90,140.79"
"26/03/2026","CLYD","0.90","0.46","0.99","0.99","0.99","0.99","0.00","1.00","","0","0.00"
"26/03/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"26/03/2026","CPC","0.10","0.05","0.09","0.09","0.10","0.10","0.01","0.10","","2,443","244.30"
"26/03/2026","DASPHARMA","0.41","0.38","0.41","0.41","0.41","0.41","0.00","0.41","","0","0.00"
"26/03/2026","EGH","57.00","25.00","50.00","50.00","49.98","50.00","0.00","","50.00","278","13,899.39"
"26/03/2026","EGL","12.16","3.48","12.00","12.00","12.00","12.00","0.00","","11.99","0","0.00"
"26/03/2026","ETI","2.82","0.76","2.00","2.00","1.80","1.80","-0.20","","1.80","65,964","118,735.20"
"26/03/2026","FML","16.35","8.00","13.61","13.61","13.20","13.35","-0.26","","13.00","1,288","17,180.22"
"26/03/2026","FAB","7.84","7.71","7.84","7.84","7.84","7.84","0.00","7.84","","0","0.00"
"26/03/2026","GCB","52.00","20.11","41.20","41.20","37.08","37.08","-4.12","","37.08","3,095","114,762.60"
"26/03/2026","GGBL","16.50","6.60","15.94","15.94","15.93","15.94","0.00","","15.93","25,052","399,327.48"
"26/03/2026","GOIL","7.86","2.96","7.86","7.86","7.85","7.67","-0.19","7.86","","21,841","167,849.94"
"26/03/2026","MAC","5.20","5.20","5.20","5.20","5.20","5.20","0.00","5.20","","0","0.00"
"26/03/2026","MTNGH","6.53","4.20","5.91","5.91","5.39","5.39","-0.52","5.33","5.50","55,297,559","298,101,507.57"
"26/03/2026","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","","","0","0.00"
"26/03/2026","RBGH","5.38","1.30","5.34","5.34","4.82","4.82","-0.52","4.81","4.82","11,463","55,231.66"
"26/03/2026","SCB","79.41","29.22","79.25","79.25","71.47","71.47","-7.78","","71.47","709","50,672.23"
"26/03/2026","SIC","6.99","1.20","3.83","3.83","3.46","3.49","-0.34","","3.45","293,808","1,030,290.74"
"26/03/2026","SOGEGH","11.51","4.49","7.86","7.86","7.08","7.86","0.00","","7.08","300","2,124.00"
"26/03/2026","TBL","1.20","1.20","1.20","1.20","1.20","1.20","0.00","1.32","","0","0.00"
"26/03/2026","TOTAL","40.30","36.13","36.91","36.91","36.13","36.13","-0.78","36.00","36.13","3,031","109,457.77"
"26/03/2026","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","","","0","0.00"
"26/03/2026","UNIL","28.46","19.79","28.46","28.46","28.46","28.46","0.00","","28.46","595","16,933.70"
"26/03/2026","AADS","0.42","0.42","0.42","0.42","0.42","0.42","0.00","0.46","","0","0.00"
"26/03/2026","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","","0","0.00"
"26/03/2026","GLD","533.93","466.72","546.00","546.00","546.00","546.00","0.00","546.00","","50","27,300.00"
"26/03/2026","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","","","0","0.00"
"26/03/2026","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"26/03/2026","HORDS","0.10","0.09","0.10","0.10","0.10","0.10","0.00","","0.10","0","0.00"
"26/03/2026","IIL","0.05","0.05","0.05","0.05","0.05","0.05","0.00","","","84,000","4,200.00"
"26/03/2026","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","","","0","0.00"
"25/03/2026","ACCESS","46.64","16.20","46.62","46.62","46.62","46.62","0.00","","46.60","332","15,471.20"
"25/03/2026","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","","0","0.00"
"25/03/2026","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","40.70","","0","0.00"
"25/03/2026","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","","","0","0.00"
"25/03/2026","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","","","0","0.00"
"25/03/2026","ALLGH","6.52","6.12","6.52","6.52","6.52","6.52","0.00","","6.52","69","449.88"
"25/03/2026","BOPP","100.00","55.82","100.00","100.00","100.00","100.00","0.00","","","1,513","151,500.00"
"25/03/2026","CAL","0.94","0.61","0.75","0.75","0.75","0.75","0.00","","0.83","872,634","653,598.58"
"25/03/2026","CLYD","0.90","0.46","0.99","0.99","0.99","0.99","0.00","0.99","","0","0.00"
"25/03/2026","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","","0","0.00"
"25/03/2026","CPC","0.09","0.05","0.09","0.09","0.09","0.09","0.00","0.10","","300","30.00"
"25/03/2026","DASPHARMA","0.41","0.38","0.41","0.41","0.41","0.41","0.00","","","0","0.00"
"25/03/2026","EGH","57.00","25.00","50.52","50.52","50.00","50.00","-0.52","50.52","56.00","1,383","69,150.00"
"25/03/2026","EGL","12.16","3.48","12.11","12.11","12.00","12.00","-0.11","","12.13","3,518","42,284.31"
"25/03/2026","ETI","2.82","0.76","2.22","2.22","2.00","2.00","-0.22","","2.22","972,297","1,944,594.00"
"25/03/2026","FML","16.35","8.00","13.79","13.79","13.61","13.61","-0.18","","13.79","3,353","45,512.62"
